resume,skills
resume_01.txt,"python, java, c++, sql, machine learning, deep learning, data structures, algorithms, aws, docker, html, git, pandas, numpy, tensorflow"
resume_02.txt,"python, java, sql, machine learning, data structures, algorithms, aws, docker, kubernetes, html, css, javascript, react, node, git, linux"
resume_03.txt,"python, java, c++, sql, data structures, algorithms, html, javascript, git"
resume_04.txt,"python, java, sql, algorithms, aws, docker, kubernetes, javascript, git"
resume_05.txt,"python, java, sql, deep learning, html, css, javascript, react, node, git, numpy, tensorflow"
resume_06.txt,"python, java, c++, sql, machine learning, html, javascript"
resume_07.txt,"java, sql, aws, html, css, javascript, react, node, git"
resume_08.txt,"java, sql, aws, html, css, javascript, react, node, git"
resume_09.txt,"python, java, c++, sql, html, css, javascript, react, node, git"
resume_10.txt,"python, java, sql, algorithms, docker, kubernetes, javascript, git, linux"
resume_11.txt,"python, java, c++, sql, machine learning, data structures, algorithms, docker, html, javascript, git"
resume_12.txt,"python, java, sql, aws, docker, kubernetes, linux"
resume_13.txt,"python, java, c++, sql, machine learning, deep learning, html, javascript, tensorflow"
resume_14.txt,"python, java, sql, machine learning, html, css, javascript, git, pandas"
resume_15.txt,"python, sql, git"
resume_16.txt,"python, java, c++, sql, data structures, algorithms, html, css, javascript, react, node, git"
resume_17.txt,"python, docker, kubernetes, node, git"
resume_18.txt,"java, c++, sql, data structures, algorithms, aws, html, css, git"
resume_19.txt,"python, java, c++, aws, html, css, javascript, node, git"
resume_20.txt,"python, java, sql, machine learning, deep learning, javascript, git, pandas, numpy, tensorflow"
resume_21.txt,"python, aws, docker, kubernetes, node, git, linux"
resume_22.txt,"python, java, c++, sql, machine learning, data structures, algorithms, html, javascript"
resume_23.txt,"python, java, c++, sql, aws, docker, kubernetes, react, node, git, linux"
resume_24.txt,"python, java, c++, sql, docker, css, javascript, react, node, git, linux"
resume_25.txt,"python, java, sql, machine learning, algorithms, aws, docker, kubernetes, html, css, git, linux"
resume_26.txt,"python, java, sql, aws, html, css, javascript, git"
